                              24 May 2018 18:54:38
Aircraft-Aircraft1


Time (EpSec)    Lat (deg)    Lon (deg)    Alt (km)
    7110.000      -26.502      156.834    3.048000
    7140.000      -26.491      156.853    3.048000
    7170.000      -26.480      156.873    3.048000
    7200.000      -26.468      156.892    3.048000
    7230.000      -26.457      156.912    3.048000
    7260.000      -26.446      156.931    3.048000
    7290.000      -26.434      156.951    3.048000
    7320.000      -26.423      156.970    3.048000
    7350.000      -26.412      156.990    3.048000
    7380.000      -26.400      157.009    3.048000
    7410.000      -26.389      157.029    3.048000
    7440.000      -26.377      157.048    3.048000
    7470.000      -26.366      157.068    3.048000
    7500.000      -26.355      157.087    3.048000
    7530.000      -26.343      157.107    3.048000
    7560.000      -26.332      157.126    3.048000
    7590.000      -26.321      157.145    3.048000
    7620.000      -26.309      157.165    3.048000
    7650.000      -26.298      157.184    3.048000
    7680.000      -26.286      157.204    3.048000
    7710.000      -26.275      157.223    3.048000
    7740.000      -26.264      157.243    3.048000
    7770.000      -26.252      157.262    3.048000
    7800.000      -26.241      157.281    3.048000
    7830.000      -26.230      157.301    3.048000
    7860.000      -26.218      157.320    3.048000
    7890.000      -26.207      157.340    3.048000
    7920.000      -26.195      157.359    3.048000
    7950.000      -26.184      157.378    3.048000
    7980.000      -26.173      157.398    3.048000
    8010.000      -26.161      157.417    3.048000
    8040.000      -26.150      157.437    3.048000
    8070.000      -26.138      157.456    3.048000
    8100.000      -26.127      157.475    3.048000
    8130.000      -26.115      157.495    3.048000
    8160.000      -26.104      157.514    3.048000
    8190.000      -26.093      157.533    3.048000
    8220.000      -26.081      157.553    3.048000
    8250.000      -26.070      157.572    3.048000
    8280.000      -26.058      157.591    3.048000
    8310.000      -26.047      157.611    3.048000
    8340.000      -26.035      157.630    3.048000
    8370.000      -26.024      157.649    3.048000
    8400.000      -26.013      157.669    3.048000
    8430.000      -26.001      157.688    3.048000
    8460.000      -25.990      157.707    3.048000
    8490.000      -25.978      157.727    3.048000
    8520.000      -25.967      157.746    3.048000
    8550.000      -25.955      157.765    3.048000
    8580.000      -25.944      157.785    3.048000
    8610.000      -25.932      157.804    3.048000
    8640.000      -25.921      157.823    3.048000
    8670.000      -25.909      157.843    3.048000
    8700.000      -25.898      157.862    3.048000
    8730.000      -25.887      157.881    3.048000
    8760.000      -25.875      157.901    3.048000
    8790.000      -25.864      157.920    3.048000
    8820.000      -25.852      157.939    3.048000
    8850.000      -25.841      157.958    3.048000
    8880.000      -25.829      157.978    3.048000
    8910.000      -25.818      157.997    3.048000
    8940.000      -25.806      158.016    3.048000
    8970.000      -25.795      158.036    3.048000
    9000.000      -25.783      158.055    3.048000
    9030.000      -25.772      158.074    3.048000
    9060.000      -25.760      158.093    3.048000
    9090.000      -25.749      158.113    3.048000
    9120.000      -25.737      158.132    3.048000
    9150.000      -25.726      158.151    3.048000
    9180.000      -25.714      158.170    3.048000
    9210.000      -25.703      158.190    3.048000
    9240.000      -25.691      158.209    3.048000
    9270.000      -25.680      158.228    3.048000
    9300.000      -25.668      158.247    3.048000
    9330.000      -25.657      158.266    3.048000
    9360.000      -25.645      158.286    3.048000
    9390.000      -25.633      158.305    3.048000
    9420.000      -25.622      158.324    3.048000
    9450.000      -25.610      158.343    3.048000
    9480.000      -25.599      158.362    3.048000
    9510.000      -25.587      158.382    3.048000
    9540.000      -25.576      158.401    3.048000
    9570.000      -25.564      158.420    3.048000
    9600.000      -25.553      158.439    3.048000
    9630.000      -25.541      158.458    3.048000
    9660.000      -25.530      158.478    3.048000
    9690.000      -25.518      158.497    3.048000
    9720.000      -25.506      158.516    3.048000
    9750.000      -25.495      158.535    3.048000
    9780.000      -25.483      158.554    3.048000
    9810.000      -25.472      158.573    3.048000
    9840.000      -25.460      158.593    3.048000
    9870.000      -25.449      158.612    3.048000
    9900.000      -25.437      158.631    3.048000
    9930.000      -25.426      158.650    3.048000
    9960.000      -25.414      158.669    3.048000
    9990.000      -25.402      158.688    3.048000
   10020.000      -25.391      158.708    3.048000
   10050.000      -25.379      158.727    3.048000
   10080.000      -25.368      158.746    3.048000
   10110.000      -25.356      158.765    3.048000
   10140.000      -25.344      158.784    3.048000
   10170.000      -25.333      158.803    3.048000
   10200.000      -25.321      158.822    3.048000
   10230.000      -25.310      158.841    3.048000
   10260.000      -25.298      158.860    3.048000
   10290.000      -25.286      158.880    3.048000
   10320.000      -25.275      158.899    3.048000
   10350.000      -25.263      158.918    3.048000
